entity,year,emissions_kg,emissions_1000kcal,emissions_100g_protein,emissions_100g_fat,land_use_kg,land_use_1000kcal,Land use per 100 grams of protein,Land use per 100 grams of fat,Bananas index (kg),Bananas index (1000 kcalories),Bananas index (100g protein),Chart?,type,Banana values,
Parmesan cheese,2022,24.0164798,6.3690947,8.43833933,8.30738201,28.2494964,7.49526017,9.93925923,9.77397457,27.49927477,7.272294973,1.092784631,TRUE,3,,
Parsnips,2022,0.98960651,1.5114424,5.53515975,12.5634703,1.80935004,2.77388985,10.0466023,22.4733256,1.133116159,1.725779798,0.716816102,TRUE,1,,
Pasta shells,2022,1.02558277,0.28693916,0.84394589,6.05206124,3.50332477,0.98016235,2.88428736,20.6531586,1.174309584,0.327629955,0.109292962,TRUE,3,,
Peanut butter,2022,3.4349602,0.57804986,1.55698225,0.70322468,8.69405959,1.45849094,3.63099795,1.75879275,3.933087412,0.660023016,0.201632834,TRUE,1,,
Peanuts,2022,3.14622685,0.56919069,2.52301114,12.1939015,8.31086347,1.4542216,4.56780184,13.2632437,3.602482852,0.649907528,0.326735829,TRUE,1,,
Pears,2022,0.92555537,1.66114724,18.6201081,45.4918045,1.01346295,1.81902141,20.4120122,49.7575532,1.059776522,1.896714257,2.411347443,TRUE,1,,
Pecan nuts,2022,2.51594162,0.42171044,3.06634448,0.58837225,11.7300315,1.83597157,11.802519,1.99100487,2.880795625,0.481513128,0.397098764,TRUE,1,,
Penne pasta,2022,1.62510675,0.61120107,2.20614859,10.1726605,3.7357361,1.5232208,4.12178429,28.3395959,1.860774661,0.697875393,0.28570139,TRUE,3,,
Peppers,2022,0.91866214,2.72228854,5.9344653,19.8076872,1.239945,3.67539135,8.01515785,26.7524276,1.051883658,3.108335831,0.768527102,TRUE,1,,
Pineapple,2022,0.93200803,1.93946088,19.3819854,34.5793262,1.01530539,2.11208253,21.1060395,37.6803714,1.067164927,2.214495509,2.51001233,TRUE,1,,
Pitta bread,2022,0.56356079,0.25420433,0.74526964,6.04442568,1.80406584,0.80565648,2.32824334,19.3817614,0.645286618,0.290253004,0.096514157,TRUE,1,,
Popcorn,2022,1.81362591,0.41921085,2.56283155,1.94870935,3.18177723,0.73431569,4.34551743,3.52643247,2.076632281,0.478659072,0.331892665,TRUE,1,,
Poppadoms,2022,1.50061802,0.31265171,2.36905824,0.6066309,4.95539256,1.03243203,7.8243243,2.00353605,1.718232964,0.356988798,0.30679857,TRUE,1,,
Pork chops,2022,12.1638908,4.58810496,7.4078932,5.90080678,17.3083125,6.42291787,10.6500617,8.19840087,13.9278603,5.238743371,0.959339453,TRUE,2,,
Pork sausages,2022,9.76787802,3.66089961,6.9132411,5.44815297,13.559548,5.11249173,9.58181768,7.71394722,11.18438522,4.180051182,0.895280852,TRUE,2,,
Porridge (oatmeal),2022,1.55516902,0.44273564,1.36056447,2.41601572,4.98533501,1.41482635,4.35780494,7.55435112,1.78069478,0.505519908,0.176196273,TRUE,1,,
Potatoes,2022,0.20727616,0.23212413,1.15759836,7.65127337,0.80444873,0.95218602,4.67253796,36.5747488,0.237334702,0.265041615,0.149911689,TRUE,1,,
Prawns,2022,20.9112828,26.3292897,13.1218846,348.489652,1.01716488,1.06565731,0.68657177,12.9608106,23.94377179,30.06304195,1.699314671,TRUE,2,,
Protein bar,2022,3.37285079,1.89675941,7.92939392,16.3150663,11.1282684,3.09535585,10.004096,14.3761042,3.861971089,2.16573855,1.026875013,TRUE,3,,
Protein shake,2022,1.74372892,2.94640554,8.04858961,21.8727021,5.64265315,3.36455813,7.82669163,18.3404856,1.996599048,3.364234826,1.042311133,TRUE,3,,
Pumpkin seeds,2022,1.32397542,0.31777286,0.55905966,0.45524179,3.33655201,0.81656432,1.39518543,1.19014602,1.515974205,0.362836177,0.07239953,TRUE,1,,
Quinoa,2022,1.13864223,0.40960062,1.28127308,2.85459172,3.23187442,1.15545882,3.60108791,8.14642813,1.303764574,0.467686017,0.165927853,TRUE,1,,
Rapeseed oil,2022,3.28869542,1.10846401,13.2636232,9.63710935,7.21423196,1.07441865,4.21035926,2.88335238,3.76561177,1.265655109,1.71767015,TRUE,1,,
Raspberries,2022,8.370972,24.6149779,60.8391707,186.986093,1.544836,4.54286421,11.2276281,34.509046,9.584904244,28.10562387,7.878814553,TRUE,1,,
Rice,2022,3.9259098,2.04788025,9.11748861,48.2763235,2.93666054,1.64001215,7.34533683,32.9260436,4.495232991,2.338289812,1.180736047,TRUE,1,,
Rice noodles,2022,3.41112611,1.43602006,9.72127495,64.9968977,2.48802366,1.00456997,6.3904583,44.6561096,3.905796977,1.639661829,1.258927787,TRUE,1,,
Ricotta cheese,2022,16.2949736,5.20145477,8.80184659,6.62045857,18.9687223,6.01769452,10.1398992,7.64968552,18.65801984,5.939072216,1.139859669,TRUE,3,,
Salmon,2022,10.4125815,5.95309273,4.83216545,13.1649387,4.74795837,2.70711512,2.2147724,5.94011252,11.92258158,6.797299832,0.6257767,TRUE,2,,
Shortbread biscuits,2022,2.22378258,0.4295585,4.02354941,0.74248302,3.07293,0.59480091,5.58291238,1.03287458,2.546268592,0.49047412,0.521059036,TRUE,3,,
Sourdough bread,2022,0.85116727,0.34474735,1.24290455,4.52364681,2.37192304,0.96947448,3.68161403,13.1519775,0.974600892,0.393635915,0.160959039,TRUE,1,,
Soy milk,2022,0.89310784,2.32007257,3.67649025,6.03048533,0.87369485,1.95194151,3.65307841,4.89194001,1.022623553,2.64908168,0.476114065,TRUE,1,,
Spaghetti,2022,1.64601495,0.76689899,1.98714627,11.5870343,3.81494626,1.45197294,3.799861,24.8451069,1.884714903,0.87565281,0.257340078,TRUE,3,,
